"time" "local_1" "local_2" "mag" "mag_err" "sky" "sky_err" "mag_delta" "mag_sigma"
"1" 0 588.081 63.105 22.8387 0.0924261 24.2315 0 0.146339512195123 1.58331371977313
"2" 85 588.081 63.105 22.5968 0.0841193 24.221 0.0236111111111111 -0.0955604878048746 -1.13601144808474
"3" 172 588.081 63.105 22.3206 0.0768746 24.2195 0.0477777777777778 -0.371760487804877 -4.83593394703683
"4" 257 588.081 63.105 22.7712 0.0914731 24.2229 0.0713888888888889 0.078839512195124 0.8618873985371
"5" 343 588.081 63.105 22.9003 0.0934034 24.2173 0.0952777777777778 0.207939512195125 2.22625206571843
"6" 429 588.081 63.105 22.8257 0.0991051 24.2092 0.119166666666667 0.133339512195125 1.34543542355666
"7" 516 588.081 63.105 22.8672 0.104559 24.1991 0.143333333333333 0.174839512195124 1.67216128879507
"8" 603 588.081 63.105 22.6376 0.0806702 24.2049 0.1675 -0.0547604878048773 -0.67881928896764
"9" 689 588.081 63.105 22.8807 0.0901479 24.2118 0.191388888888889 0.188339512195125 2.08922794868349
"10" 775 588.081 63.105 22.7318 0.0896777 24.2081 0.215277777777778 0.0394395121951234 0.439791745273612
"11" 861 588.081 63.105 22.7795 0.0844577 24.2133 0.239166666666667 0.0871395121951224 1.03175331787537
"12" 946 588.081 63.105 22.8748 0.0991158 24.217 0.262777777777778 0.182439512195124 1.84067032900026
"13" 1033 588.081 63.105 22.8368 0.0925185 24.2012 0.286944444444444 0.144439512195124 1.56119600074714
"14" 1119 588.081 63.105 22.7603 0.0825652 24.2128 0.310833333333333 0.0679395121951245 0.822858930822241
"15" 1205 588.081 63.105 22.9633 0.097274 24.2258 0.334722222222222 0.270939512195124 2.78532302768596
"16" 1290 588.081 63.105 23.0702 0.120286 24.2399 0.358333333333333 0.377839512195123 3.14117613184513
"17" 1377 588.081 63.105 23.2498 0.130638 24.2273 0.3825 0.557439512195124 4.26705485536463
"18" 1462 588.081 63.105 23.3192 0.133557 24.2197 0.406111111111111 0.626839512195122 4.69342312417262
"19" 1549 588.081 63.105 22.9167 0.100248 24.2173 0.430277777777778 0.224339512195122 2.23784526569231
"20" 1635 588.081 63.105 23.2192 0.1308 24.2141 0.454166666666667 0.526839512195124 4.0278250167823
"21" 1721 588.081 63.105 23.1323 0.111764 24.2149 0.478055555555556 0.439939512195124 3.93632575959275
"22" 1807 588.081 63.105 23.0422 0.111903 24.2093 0.501944444444444 0.349839512195125 3.12627465032327
"23" 1893 588.081 63.105 22.9065 0.0920638 24.1942 0.525833333333333 0.214139512195125 2.32599036966891
"24" 1980 588.081 63.105 22.6477 0.0872447 24.1933 0.55 -0.044660487804876 -0.511899150376768
"25" 2066 588.081 63.105 22.7833 0.0830268 24.2092 0.573888888888889 0.0909395121951242 1.09530310929873
"26" 2152 588.081 63.105 22.9896 0.105042 24.2143 0.597777777777778 0.297239512195123 2.82972060885287
"27" 2238 588.081 63.105 22.8507 0.0921035 24.2032 0.621666666666667 0.158339512195123 1.71914761322994
"28" 2324 588.081 63.105 22.8012 0.0902525 24.2074 0.645555555555556 0.108839512195125 1.20594456879449
