"time" "local_1" "local_2" "mag" "mag_err" "sky" "sky_err" "mag_delta" "mag_sigma"
"50" 4222 1004.578 56.091 20.5125 0.112093 23.9264 1.17277777777778 -0.401624878048782 -3.58296127366367
"51" 4309 1004.541 56.027 20.6887 0.110582 23.9498 1.19694444444444 -0.225424878048781 -2.03853138891303
"52" 4395 1004.541 56.027 20.5921 0.0976971 23.9525 1.22083333333333 -0.322024878048783 -3.29615595599852
"53" 4481 1004.541 56.027 19.8431 0.106866 23.8092 1.24472222222222 -1.07102487804878 -10.0221293774332
"54" 4568 1004.541 56.027 20.6173 0.116129 23.9478 1.26888888888889 -0.296824878048781 -2.55599271541804
"55" 4654 1004.541 56.027 20.7194 0.112394 23.9758 1.29277777777778 -0.194724878048781 -1.73252022393349
"56" 4740 1004.541 56.027 20.2589 0.102011 23.8797 1.31666666666667 -0.655224878048781 -6.42308062903786
"57" 4826 1004.557 56.054 19.9179 0.10558 23.8185 1.34055555555556 -0.996224878048782 -9.4357347797763
"58" 4912 1004.541 56.027 20.5827 0.108706 24.0041 1.36444444444444 -0.331424878048782 -3.04881863051517
"59" 4998 1004.564 56.066 20.0782 0.121717 23.826 1.38833333333333 -0.835924878048782 -6.86777424721923
"60" 5084 1004.557 56.054 20.3879 0.111183 23.9371 1.41222222222222 -0.526224878048783 -4.73296167623452
"61" 5170 1004.554 56.05 20.4748 0.118809 23.9089 1.43611111111111 -0.439324878048783 -3.69774072712322
"62" 5257 1004.541 56.027 20.4633 0.0986863 23.9899 1.46027777777778 -0.450824878048781 -4.56826203889274
"63" 5344 1004.541 56.027 20.4763 0.102246 23.9908 1.48444444444444 -0.437824878048783 -4.2820734116619
"64" 5431 1004.541 56.027 20.7129 0.102204 23.9958 1.50861111111111 -0.20122487804878 -1.96885521162362
"65" 5517 1004.556 56.053 20.5671 0.114143 23.9681 1.5325 -0.347024878048781 -3.04026421286265
"66" 5604 1004.541 56.027 20.6353 0.0960506 24.0336 1.55666666666667 -0.278824878048781 -2.90289574504251
"67" 5690 1004.541 56.027 20.6414 0.122838 23.9629 1.58055555555556 -0.272724878048781 -2.22019959661327
"68" 5776 1004.541 56.027 20.7647 0.10775 23.9901 1.60444444444444 -0.14942487804878 -1.3867738101975
"69" 5862 1004.541 56.027 20.8361 0.108703 23.9954 1.62833333333333 -0.0780248780487831 -0.717780356096733
"70" 5948 1004.541 56.027 20.8303 0.104303 24.0325 1.65222222222222 -0.0838248780487802 -0.803666989911894
"71" 6035 1004.541 56.027 20.9398 0.0948239 24.0472 1.67638888888889 0.0256751219512203 0.270766356912343
"72" 6121 1004.541 56.027 20.8516 0.109465 24.0107 1.70027777777778 -0.0625248780487802 -0.571186023375327
"73" 6208 1004.541 56.027 20.8657 0.097569 24.0341 1.72444444444444 -0.048424878048781 -0.496314178158852
"74" 6294 1004.541 56.027 20.5879 0.107597 23.9932 1.74833333333333 -0.32622487804878 -3.03191425456825
"75" 6380 1004.541 56.027 20.9885 0.0959531 24.0719 1.77222222222222 0.074375121951217 0.775119531846464
"76" 6466 1004.541 56.027 21.1125 0.0968787 24.0915 1.79611111111111 0.198375121951219 2.04766498674342
"77" 6552 1004.541 56.027 21.0472 0.0926097 24.1165 1.82 0.133075121951219 1.43694582696217
"78" 6638 1004.541 56.027 20.9097 0.0904222 24.1157 1.84388888888889 -0.00442487804878056 -0.04893574861904
"79" 6724 1004.541 56.027 21.1019 0.152077 24.1595 1.86777777777778 0.187775121951219 1.23473715256889
"80" 6810 1004.541 56.027 21.0264 0.0878663 24.1505 1.89166666666667 0.112275121951217 1.27779503576704
"81" 6897 1004.541 56.027 20.9477 0.092031 24.1132 1.91583333333333 0.0335751219512197 0.364824047888426
"82" 6983 1004.541 56.027 21.0916 0.0903913 24.161 1.93972222222222 0.177475121951218 1.96340933199565
"83" 7069 1004.541 56.027 21.0229 0.15384 24.1956 1.96361111111111 0.108775121951219 0.707066575345934
"84" 7155 1004.541 56.027 21.048 0.149955 24.2046 1.9875 0.133875121951217 0.892768643601193
"85" 7241 1004.541 56.027 21.0916 0.157704 24.2009 2.01138888888889 0.177475121951218 1.12536855090054
"86" 7328 1004.541 56.027 20.7237 0.101784 24.1057 2.03555555555556 -0.19042487804878 -1.87087241657609
"87" 7414 1004.541 56.027 20.8363 0.0955874 24.1077 2.05944444444444 -0.07782487804878 -0.814175069609384
"88" 7500 1004.541 56.027 20.9655 0.0881864 24.1466 2.08333333333333 0.0513751219512173 0.582574205900426
"89" 7587 1004.554 56.05 20.3597 0.111067 24.0242 2.1075 -0.554424878048781 -4.9918056492818
"90" 7673 1004.541 56.027 20.9168 0.0908984 24.1321 2.13138888888889 0.00267512195121711 0.0294298024081514
"91" 7760 1004.541 56.027 20.5158 0.084402 24.0807 2.15555555555556 -0.398324878048783 -4.71937724282342
"92" 7846 1004.541 56.027 21.1449 0.163664 24.2059 2.17944444444444 0.230775121951218 1.41005426942528
"93" 7933 1004.541 56.027 20.9391 0.146881 24.1769 2.20361111111111 0.0249751219512184 0.170036437328303
"94" 8020 1004.541 56.027 20.9674 0.0872936 24.1794 2.22777777777778 0.05327512195122 0.610298142718595
"95" 8107 1004.541 56.027 21.1802 0.13944 24.2376 2.25194444444444 0.266075121951218 1.9081692624155
"96" 8194 1004.541 56.027 21.3294 0.148143 24.2852 2.27611111111111 0.415275121951218 2.80320448452656
"97" 8280 1004.541 56.027 21.0295 0.0875646 24.2616 2.3 0.115375121951217 1.3176000570004
"98" 8367 1004.541 56.027 20.9742 0.0828096 24.2293 2.32416666666667 0.0600751219512183 0.725460839699966
"99" 8454 1004.541 56.027 20.8534 0.0863699 24.2112 2.34833333333333 -0.0607248780487808 -0.703079175138339
"100" 8541 1004.541 56.027 20.9123 0.0889165 24.2259 2.3725 -0.00182487804878306 -0.0205235029357101
"101" 8628 1004.541 56.027 20.9878 0.138163 24.27 2.39666666666667 0.0736751219512186 0.533247844583706
"102" 8715 1004.541 56.027 20.9809 0.0854043 24.2401 2.42083333333333 0.0667751219512169 0.781870724907492
"103" 8801 1004.541 56.027 20.8852 0.0845006 24.2276 2.44472222222222 -0.0289248780487803 -0.342303818538333
"104" 8887 1004.541 56.027 20.859 0.0863509 24.2367 2.46861111111111 -0.0551248780487796 -0.63838220619333
"105" 8973 1004.541 56.027 20.7651 0.0970496 24.2457 2.4925 -0.149024878048781 -1.53555375858098
"106" 9060 1004.541 56.027 20.8554 0.0988883 24.2621 2.51666666666667 -0.0587248780487819 -0.593850617805968
"107" 9147 1004.541 56.027 20.7542 0.0915474 24.2824 2.54083333333333 -0.159924878048781 -1.74690791927221
"108" 9234 1004.541 56.027 20.5801 0.101707 24.2308 2.565 -0.33402487804878 -3.2841876965084
"109" 9321 1004.541 56.027 20.7179 0.09795 24.2712 2.58916666666667 -0.196224878048781 -2.00331677436224
"110" 9408 1004.541 56.027 20.4432 0.108117 24.1929 2.61333333333333 -0.47092487804878 -4.355696865884
"111" 9495 1004.541 56.027 20.6955 0.103532 24.2448 2.6375 -0.218624878048782 -2.11166478044259
"112" 9582 1004.541 56.027 21.0072 0.0961852 24.299 2.66166666666667 0.0930751219512196 0.967665731850842
"113" 9669 1004.541 56.027 20.841 0.0896917 24.2999 2.68583333333333 -0.0731248780487803 -0.815291471215066
"114" 9755 1004.541 56.027 20.5312 0.103424 24.2205 2.70972222222222 -0.382924878048783 -3.70247600217341
"115" 9842 1004.541 56.027 20.7938 0.095146 24.27 2.73388888888889 -0.12032487804878 -1.26463412070692
"116" 9928 1004.541 56.027 20.7331 0.0942241 24.2943 2.75777777777778 -0.181024878048781 -1.92121631354166
"117" 10014 1004.541 56.027 20.7725 0.0989586 24.2795 2.78166666666667 -0.141624878048781 -1.43115280580748
"118" 10101 1004.541 56.027 20.995 0.0926363 24.3207 2.80583333333333 0.0808751219512196 0.873039207645595
"119" 10188 1004.541 56.027 20.7348 0.0990522 24.287 2.83 -0.179324878048781 -1.81040782586133
"120" 10275 1004.541 56.027 20.8217 0.0970164 24.2871 2.85416666666667 -0.0924248780487815 -0.952672723877422
"121" 10361 1004.541 56.027 20.9372 0.0889505 24.3105 2.87805555555556 0.0230751219512193 0.259415314711208
"122" 10447 1004.541 56.027 20.8374 0.0988622 24.291 2.90194444444444 -0.0767248780487826 -0.776079007434415
"123" 10533 1004.541 56.027 20.8797 0.0961651 24.3311 2.92583333333333 -0.0344248780487817 -0.357976834098667
"124" 10620 1004.541 56.027 21.2319 0.104248 24.4009 2.95 0.317775121951218 3.04826108847381
"125" 10706 1004.541 56.027 21.1131 0.100323 24.3809 2.97388888888889 0.198975121951218 1.98334501511336
"126" 10793 1004.541 56.027 21.017 0.0944979 24.3875 2.99805555555556 0.102875121951218 1.08864982133167
"127" 10880 1004.541 56.027 20.9881 0.0961374 24.3903 3.02222222222222 0.0739751219512179 0.769472878933879
"128" 10967 1004.541 56.027 20.7606 0.0878868 24.3972 3.04638888888889 -0.153524878048781 -1.74684796862306
"129" 11054 1004.541 56.027 20.767 0.0997351 24.3656 3.07055555555556 -0.147124878048782 -1.47515646997679
"130" 11141 1004.541 56.027 20.7585 0.0933933 24.3908 3.09472222222222 -0.15562487804878 -1.66633878499614
"131" 11228 1004.541 56.027 20.7141 0.0969861 24.3737 3.11888888888889 -0.200024878048783 -2.06240768572799
"132" 11315 1004.541 56.027 20.7741 0.160147 24.4 3.14305555555556 -0.140024878048781 -0.874352176742497
"133" 11401 1004.541 56.027 21.0143 0.0980769 24.4148 3.16694444444444 0.100175121951217 1.02139364061484
