"time" "local_1" "local_2" "mag" "mag_err" "sky" "sky_err" "mag_delta" "mag_sigma"
"1" 0 392.428 58.064 22.2677 0.23581 24.2305 0 -0.00195951219512125 -0.00830970779492494
"2" 85 392.428 58.064 21.7948 0.213073 24.2234 0.0236111111111111 -0.474859512195124 -2.22862358062788
"3" 172 392.428 58.064 21.5296 0.229814 24.2081 0.0477777777777778 -0.740059512195124 -3.22025425864014
"4" 257 392.428 58.064 22.0362 0.218028 24.2263 0.0713888888888889 -0.233459512195122 -1.07077766247969
"5" 343 392.428 58.064 22.3483 0.234845 24.2255 0.0952777777777778 0.0786404878048756 0.334861239561735
"6" 429 392.428 58.064 22.4357 0.238859 24.2024 0.119166666666667 0.166040487804878 0.695140178117124
"7" 516 392.428 58.064 22.3392 0.223986 24.2068 0.143333333333333 0.0695404878048791 0.310468010522439
"8" 603 392.428 58.064 22.0626 0.22891 24.2056 0.1675 -0.207059512195123 -0.904545507820204
"9" 689 392.428 58.064 22.3597 0.235991 24.2188 0.191388888888889 0.0900404878048775 0.381542041030707
"10" 775 392.428 58.064 21.9908 0.223962 24.2135 0.215277777777778 -0.278859512195123 -1.24511976225932
"11" 861 392.428 58.064 22.2145 0.230957 24.2193 0.239166666666667 -0.0551595121951216 -0.238830224652735
"12" 946 392.428 58.064 22.4447 0.24084 24.2208 0.262777777777778 0.175040487804878 0.726791595270214
"13" 1033 392.428 58.064 22.2098 0.238811 24.2067 0.286944444444444 -0.0598595121951213 -0.250656427866059
"14" 1119 392.428 58.064 22.1603 0.241789 24.2188 0.310833333333333 -0.109359512195123 -0.452293165508452
"15" 1205 392.428 58.064 22.6353 0.246776 24.2369 0.334722222222222 0.365640487804878 1.48166956188964
"16" 1290 392.428 58.064 22.9612 0.249964 24.2454 0.358333333333333 0.691540487804879 2.76656033590789
"17" 1377 392.428 58.064 23.0408 0.251878 24.2337 0.3825 0.771140487804878 3.06156348631035
"18" 1462 392.428 58.064 22.9982 0.254868 24.2268 0.406111111111111 0.728540487804878 2.85850121555032
"19" 1549 392.428 58.064 22.4937 0.255753 24.2201 0.430277777777778 0.224040487804878 0.87600336185647
"20" 1635 392.428 58.064 23.2613 0.287591 24.2268 0.454166666666667 0.991640487804876 3.44809290904401
"21" 1721 392.428 58.064 22.9713 0.253904 24.2187 0.478055555555556 0.701640487804877 2.76340856309817
"22" 1807 392.428 58.064 22.8142 0.25693 24.2137 0.501944444444444 0.544540487804877 2.11941185460973
"23" 1893 392.428 58.064 22.5145 0.251835 24.1947 0.525833333333333 0.244840487804879 0.972225813746616
"24" 1980 392.428 58.064 22.1477 0.24877 24.1911 0.55 -0.121959512195122 -0.490250079170005
"25" 2066 392.428 58.064 22.3113 0.250841 24.2105 0.573888888888889 0.0416404878048766 0.166003515393722
"26" 2152 392.428 58.064 22.6896 0.246913 24.2183 0.597777777777778 0.419940487804876 1.70076297240273
"27" 2238 392.428 58.064 22.5507 0.259762 24.203 0.621666666666667 0.281040487804876 1.08191532173635
"28" 2324 392.428 58.064 22.4932 0.256783 24.2071 0.645555555555556 0.223540487804879 0.870542394959476
"29" 2411 392.428 58.064 22.2668 0.247859 24.2034 0.669722222222222 -0.0028595121951227 -0.0115368503670341
"30" 2497 392.428 58.064 22.5517 0.258913 24.2262 0.693611111111111 0.282040487804878 1.08932532474182
"31" 2584 392.428 58.064 22.4596 0.254858 24.2241 0.717777777777778 0.189940487804876 0.745279676544882
"32" 2670 392.428 58.064 22.4358 0.262736 24.2137 0.741666666666667 0.166140487804878 0.632347633384377
"33" 2756 392.428 58.064 22.3438 0.259775 24.2316 0.765555555555556 0.074140487804879 0.285402705436932
"34" 2843 392.428 58.064 22.7769 0.266856 24.2595 0.789722222222222 0.507240487804879 1.90080225966393
"35" 2929 392.428 58.064 22.8992 0.259907 24.2608 0.813611111111111 0.629540487804878 2.42217596218985
"36" 3015 392.428 58.064 23.1842 0.281851 24.258 0.8375 0.914540487804878 3.24476580819255
"37" 3101 392.428 58.064 22.9238 0.26392 24.2395 0.861388888888889 0.654140487804877 2.47855595561108
"38" 3187 392.428 58.064 22.6201 0.261788 24.2197 0.885277777777778 0.350440487804878 1.33864228996317
"39" 3273 392.428 58.064 22.6727 0.263808 24.2259 0.909166666666667 0.403040487804876 1.52777962686831
"40" 3359 392.428 58.064 22.8227 0.27468 24.2316 0.933055555555556 0.553040487804878 2.01339918379525
"41" 3445 392.428 58.064 22.7752 0.2777 24.2272 0.956944444444444 0.505540487804879 1.82045548363298
"42" 3531 392.428 58.064 22.6912 0.269795 24.2283 0.980833333333333 0.421540487804876 1.56244736857568
"43" 3617 392.428 58.064 22.4023 0.259834 24.2117 1.00472222222222 0.132640487804878 0.510481645223018
"44" 3704 392.428 58.064 22.3829 0.257778 24.2179 1.02888888888889 0.113240487804877 0.439294617092524
"45" 3791 392.428 58.064 22.3911 0.263812 24.2458 1.05305555555556 0.121440487804879 0.460329658259969
"46" 3877 392.428 58.064 22.7248 0.266965 24.2613 1.07694444444444 0.455140487804876 1.70486950650788
"47" 3963 392.428 58.064 22.7318 0.275809 24.2486 1.10083333333333 0.462140487804877 1.67558160830458
"48" 4049 392.428 58.064 21.7947 0.245189 24.2314 1.12472222222222 -0.474959512195124 -1.93711590730059
"49" 4135 392.428 58.064 20.4075 0.20034 24.1793 1.14861111111111 -1.86215951219512 -9.2949960676606
"50" 4222 392.428 58.064 21.2505 0.239787 24.1969 1.17277777777778 -1.01915951219512 -4.25027008217762
"51" 4309 392.428 58.064 21.4987 0.246877 24.1914 1.19694444444444 -0.770959512195123 -3.12284867442136
"52" 4395 392.428 58.064 21.8381 0.25485 24.1994 1.22083333333333 -0.431559512195122 -1.69338635352216
"53" 4481 392.428 58.064 20.9551 0.233067 24.1923 1.24472222222222 -1.31455951219512 -5.64026443981825
"54" 4568 392.428 58.064 21.5423 0.245835 24.2192 1.26888888888889 -0.727359512195122 -2.95873049889203
"55" 4654 392.428 58.064 21.7094 0.246845 24.2303 1.29277777777778 -0.560259512195124 -2.26968142840699
"56" 4740 392.428 58.064 21.2939 0.239896 24.2115 1.31666666666667 -0.975759512195122 -4.06742718592691
"57" 4826 392.428 58.064 20.5539 0.210227 24.1996 1.34055555555556 -1.71575951219512 -8.16146124044544
"58" 4912 392.428 58.064 21.5167 0.239963 24.2697 1.36444444444444 -0.752959512195122 -3.13781504729947
"59" 4998 392.428 58.064 20.8652 0.227013 24.2355 1.38833333333333 -1.40445951219512 -6.18669200528217
"60" 5084 392.428 58.064 21.1849 0.228938 24.2373 1.41222222222222 -1.08475951219512 -4.73822393921116
"61" 5170 392.428 58.064 21.1658 0.232909 24.2169 1.43611111111111 -1.10385951219512 -4.73944550101165
"62" 5257 392.428 58.064 21.6663 0.248946 24.2501 1.46027777777778 -0.603359512195123 -2.42365618324907
"63" 5344 392.428 58.064 21.6003 0.251854 24.2484 1.48444444444444 -0.669359512195122 -2.65772833544483
"64" 5431 392.428 58.064 21.7609 0.252825 24.2491 1.50861111111111 -0.508759512195123 -2.01229906929743
"65" 5517 392.428 58.064 21.3541 0.23591 24.2497 1.5325 -0.915559512195124 -3.88096948919132
"66" 5604 392.428 58.064 22.0503 0.251958 24.273 1.55666666666667 -0.219359512195123 -0.870619357968878
"67" 5690 392.428 58.064 21.6254 0.244876 24.2408 1.58055555555556 -0.644259512195124 -2.6309622510786
"68" 5776 392.428 58.064 21.8317 0.25478 24.2433 1.60444444444444 -0.437959512195121 -1.7189713171957
"69" 5862 392.428 58.064 21.6541 0.248854 24.2561 1.62833333333333 -0.615559512195123 -2.47357692540656
"70" 5948 392.428 58.064 22.0833 0.250946 24.2691 1.65222222222222 -0.186359512195121 -0.742627944637975
"71" 6035 392.428 58.064 22.2598 0.265691 24.2609 1.67638888888889 -0.00985951219512415 -0.0371089430771993
"72" 6121 392.428 58.064 21.8296 0.258669 24.2491 1.70027777777778 -0.440059512195123 -1.70124565446622
"73" 6208 392.428 58.064 22.1007 0.264696 24.2601 1.72444444444444 -0.168959512195123 -0.638315320953557
"74" 6294 392.428 58.064 21.6039 0.245815 24.2688 1.74833333333333 -0.665759512195123 -2.70837626749842
"75" 6380 392.428 58.064 22.2905 0.259831 24.2858 1.77222222222222 0.0208404878048789 0.0802078574337893
"76" 6466 392.428 58.064 22.6405 0.26577 24.296 1.79611111111111 0.370840487804877 1.39534367236662
"77" 6552 392.428 58.064 22.5872 0.273791 24.3112 1.82 0.317540487804877 1.1597915483156
"78" 6638 392.428 58.064 22.3908 0.264757 24.3361 1.84388888888889 0.121140487804876 0.457553484156702
"79" 6724 392.428 58.064 22.6919 0.274777 24.3489 1.86777777777778 0.422240487804878 1.53666605212546
"80" 6810 392.428 58.064 22.5574 0.261841 24.3559 1.89166666666667 0.287740487804879 1.09891303426461
"81" 6897 392.428 58.064 22.2737 0.264684 24.3405 1.91583333333333 0.00404048780487898 0.0152653269743505
"82" 6983 392.428 58.064 22.5776 0.269695 24.3859 1.93972222222222 0.307940487804878 1.14181014777759
"83" 7069 392.428 58.064 22.6429 0.263793 24.4002 1.96361111111111 0.373240487804878 1.41489913608351
"84" 7155 392.428 58.064 22.748 0.277645 24.4062 1.9875 0.478340487804878 1.72284927805247
"85" 7241 392.428 58.064 22.7496 0.265764 24.4056 2.01138888888889 0.479940487804878 1.80588976612663
"86" 7328 392.428 58.064 21.8577 0.250677 24.3774 2.03555555555556 -0.411959512195121 -1.64338775474065
"87" 7414 392.428 58.064 22.1213 0.252771 24.3653 2.05944444444444 -0.148359512195121 -0.586932489071615
"88" 7500 392.428 58.064 22.4775 0.261645 24.3683 2.08333333333333 0.207840487804877 0.794360632937287
